year,month,value,date
1912,april,-0.338,1912-04
1912,may,-0.335,1912-05
1912,june,-0.285,1912-06
1912,july,-0.507,1912-07
1912,august,-0.572,1912-08
1912,september,-0.644,1912-09
1912,october,-0.679,1912-10
1912,november,-0.558,1912-11
1912,december,-0.591,1912-12
1913,january,-0.564,1913-01
1913,february,-0.55,1913-02
1913,march,-0.606,1913-03
1913,april,-0.534,1913-04
1913,may,-0.541,1913-05
1913,june,-0.551,1913-06
1913,july,-0.477,1913-07
1913,august,-0.396,1913-08
1913,september,-0.417,1913-09
1913,october,-0.438,1913-10
1913,november,-0.368,1913-11
1913,december,-0.164,1913-12
1914,january,-0.078,1914-01
1914,february,-0.27,1914-02
1914,march,-0.397,1914-03
1914,april,-0.409,1914-04
1914,may,-0.308,1914-05
1914,june,-0.308,1914-06
1914,july,-0.297,1914-07
1914,august,-0.245,1914-08
1914,september,-0.301,1914-09
1914,october,-0.11,1914-10
1914,november,-0.19,1914-11
1914,december,-0.237,1914-12
1915,january,-0.287,1915-01
1915,february,-0.22,1915-02
1915,march,-0.194,1915-03
1915,april,-0.083,1915-04
1915,may,-0.168,1915-05
1915,june,-0.172,1915-06
1915,july,-0.169,1915-07
1915,august,-0.067,1915-08
1915,september,-0.12,1915-09
1915,october,-0.286,1915-10
1915,november,-0.173,1915-11
1915,december,-0.362,1915-12
1916,january,-0.338,1916-01
1916,february,-0.264,1916-02
1916,march,-0.439,1916-03
1916,april,-0.375,1916-04
1916,may,-0.418,1916-05
1916,june,-0.495,1916-06
1916,july,-0.385,1916-07
1916,august,-0.297,1916-08
1916,september,-0.322,1916-09
1916,october,-0.374,1916-10
1916,november,-0.514,1916-11
1916,december,-0.821,1916-12
1917,january,-0.689,1917-01
1917,february,-0.716,1917-02
1917,march,-0.784,1917-03
1917,april,-0.546,1917-04
1917,may,-0.644,1917-05
1917,june,-0.479,1917-06
1917,july,-0.245,1917-07
1917,august,-0.333,1917-08
1917,september,-0.298,1917-09
1917,october,-0.536,1917-10
1917,november,-0.459,1917-11
1917,december,-0.787,1917-12
1918,january,-0.518,1918-01
1918,february,-0.672,1918-02
1918,march,-0.579,1918-03
1918,april,-0.623,1918-04
1918,may,-0.525,1918-05
1918,june,-0.387,1918-06
1918,july,-0.37,1918-07
1918,august,-0.43,1918-08
1918,september,-0.258,1918-09
1918,october,-0.119,1918-10
1918,november,-0.19,1918-11
1918,december,-0.424,1918-12
1919,january,-0.251,1919-01
1919,february,-0.242,1919-02
1919,march,-0.392,1919-03
1919,april,-0.211,1919-04
1919,may,-0.308,1919-05
1919,june,-0.358,1919-06
1919,july,-0.3,1919-07
1919,august,-0.238,1919-08
1919,september,-0.286,1919-09
1919,october,-0.259,1919-10
1919,november,-0.558,1919-11
1919,december,-0.503,1919-12
1920,january,-0.259,1920-01
1920,february,-0.546,1920-02
1920,march,-0.172,1920-03
1920,april,-0.337,1920-04
1920,may,-0.256,1920-05
1920,june,-0.238,1920-06
1920,july,-0.3,1920-07
1920,august,-0.227,1920-08
1920,september,-0.196,1920-09
1920,october,-0.218,1920-10
1920,november,-0.346,1920-11
1920,december,-0.488,1920-12
1921,january,-0.218,1921-01
1921,february,-0.295,1921-02
1921,march,-0.343,1921-03
1921,april,-0.291,1921-04
1921,may,-0.302,1921-05
1921,june,-0.154,1921-06
1921,july,-0.155,1921-07
1921,august,-0.321,1921-08
1921,september,-0.207,1921-09
1921,october,-0.134,1921-10
1921,november,-0.196,1921-11
1921,december,-0.271,1921-12
1922,january,-0.419,1922-01
1922,february,-0.409,1922-02
1922,march,-0.344,1922-03
1922,april,-0.291,1922-04
1922,may,-0.47,1922-05
1922,june,-0.293,1922-06
1922,july,-0.259,1922-07
1922,august,-0.356,1922-08
1922,september,-0.324,1922-09
1922,october,-0.345,1922-10
1922,november,-0.255,1922-11
1922,december,-0.305,1922-12
1923,january,-0.404,1923-01
1923,february,-0.494,1923-02
1923,march,-0.456,1923-03
1923,april,-0.41,1923-04
1923,may,-0.404,1923-05
1923,june,-0.253,1923-06
1923,july,-0.42,1923-07
1923,august,-0.324,1923-08
1923,september,-0.341,1923-09
1923,october,-0.176,1923-10
1923,november,-0.034,1923-11
1923,december,-0.1,1923-12
1924,january,-0.327,1924-01
1924,february,-0.315,1924-02
1924,march,-0.176,1924-03
1924,april,-0.342,1924-04
